,MedInc,Latitude,Longitude
0,8.3252,37.88,-122.23
1,8.3014,37.86,-122.22
2,7.2574,37.85,-122.24
3,5.6431,37.85,-122.25
4,3.8462,37.85,-122.25
5,4.0368,37.85,-122.25
6,3.6591,37.84,-122.25
7,3.12,37.84,-122.25
8,2.0804,37.84,-122.26
9,3.6912,37.84,-122.25
10,3.2031,37.85,-122.26
11,3.2705,37.85,-122.26
12,3.075,37.85,-122.26
13,2.6736,37.84,-122.26
14,1.9167,37.85,-122.26
15,2.125,37.85,-122.26
16,2.775,37.85,-122.27
17,2.1202,37.85,-122.27
18,1.9911,37.84,-122.26
19,2.6033,37.84,-122.27
20,1.3578,37.85,-122.27
21,1.7135,37.85,-122.27
22,1.725,37.84,-122.27
23,2.1806,37.84,-122.27
24,2.6,37.84,-122.27
25,2.4038,37.85,-122.28
26,2.4597,37.85,-122.28
27,1.808,37.85,-122.28
28,1.6424,37.84,-122.28
29,1.6875,37.84,-122.28
30,1.9274,37.84,-122.28
31,1.9615,37.84,-122.28
32,1.7969,37.84,-122.27
33,1.375,37.83,-122.27
34,2.7303,37.83,-122.27
35,1.4861,37.83,-122.27
36,1.0972,37.83,-122.27
37,1.4103,37.83,-122.28
38,3.48,37.83,-122.26
39,2.5898,37.83,-122.26
40,2.0978,37.83,-122.26
41,1.2852,37.83,-122.26
42,1.025,37.84,-122.26
43,3.9643,37.84,-122.26
44,3.0125,37.83,-122.26
45,2.6768,37.83,-122.26
46,2.026,37.83,-122.26
47,1.7348,37.82,-122.27
48,0.9506,37.82,-122.26
49,1.775,37.82,-122.27
50,0.9218,37.82,-122.27
51,1.5045,37.82,-122.27
52,1.1108,37.82,-122.27
53,1.2475,37.82,-122.27
54,1.6098,37.82,-122.28
55,1.4113,37.82,-122.28
56,1.5057,37.82,-122.28
57,0.8172,37.82,-122.28
58,1.2171,37.82,-122.28
59,2.5625,37.82,-122.29
60,3.3929,37.83,-122.29
61,6.1183,37.82,-122.29
62,0.9011,37.81,-122.29
63,1.1909999999999998,37.81,-122.3
64,2.5938,37.81,-122.3
65,1.1667,37.81,-122.3
66,0.8056,37.81,-122.3
67,2.6094,37.8,-122.29
68,1.8516,37.81,-122.3
69,0.9802,37.81,-122.29
70,1.7719,37.81,-122.29
71,0.7286,37.81,-122.29
72,1.75,37.81,-122.29
73,0.4999,37.81,-122.29
74,2.483,37.81,-122.29
75,0.9241,37.81,-122.28
76,2.4464,37.81,-122.28
77,1.1111,37.81,-122.28
78,0.8026,37.81,-122.29
79,2.0114,37.8,-122.28
80,1.5,37.81,-122.28
81,1.1667,37.81,-122.27
82,1.5208,37.81,-122.28
83,0.8075,37.81,-122.28
84,1.8088,37.81,-122.28
85,2.4083,37.81,-122.28
86,0.977,37.81,-122.27
87,0.76,37.81,-122.27
88,0.9722,37.8,-122.27
89,1.2434,37.8,-122.27
90,2.0938,37.8,-122.27
91,0.8668,37.8,-122.28
92,0.75,37.8,-122.28
93,2.6354,37.79,-122.27
94,1.8477,37.8,-122.27
95,2.0096,37.8,-122.26
96,2.8345,37.82,-122.26
97,2.0062,37.81,-122.26
98,1.2185,37.82,-122.26
99,2.6104,37.82,-122.26
100,2.4912,37.81,-122.25
101,3.2177,37.81,-122.25
102,3.125,37.81,-122.25
103,2.5795,37.81,-122.25
104,2.8406,37.81,-122.26
105,4.9306,37.82,-122.24
106,3.2727,37.81,-122.24
107,3.1691,37.81,-122.25
108,3.9,37.82,-122.24
109,3.9063,37.82,-122.25
110,5.0917,37.82,-122.25
111,2.6429,37.82,-122.25
112,3.0233,37.82,-122.25
113,3.1484,37.83,-122.25
114,3.4722,37.83,-122.25
115,3.1429,37.83,-122.25
116,2.4234,37.83,-122.25
117,3.0897,37.83,-122.25
118,5.8596,37.84,-122.23
119,5.2868,37.84,-122.23
120,5.956,37.83,-122.24
121,4.9643,37.85,-122.24
122,6.3434,37.85,-122.23
123,5.1773,37.84,-122.24
124,7.2354,37.85,-122.24
125,5.457000000000001,37.85,-122.22
126,7.5,37.84,-122.22
127,6.0194,37.84,-122.21
128,7.5544,37.83,-122.21
129,6.0666,37.84,-122.2
130,7.0548,37.84,-122.21
131,11.6017,37.84,-122.19
132,7.4882,37.84,-122.2
133,6.8976,37.83,-122.21
134,8.2049,37.83,-122.19
135,8.401,37.83,-122.2
136,6.8538,37.83,-122.19
137,8.317,37.82,-122.19
138,7.0175,37.82,-122.2
139,6.3302,37.82,-122.2
140,6.3624,37.81,-122.18
141,7.0549,37.82,-122.21
142,6.7851,37.81,-122.2
143,2.8929,37.8,-122.21
144,3.0812,37.8,-122.21
145,5.2402,37.81,-122.21
146,6.5217,37.81,-122.22
147,3.2632,37.8,-122.22
148,3.0298,37.8,-122.22
149,4.5428,37.8,-122.22
150,4.072,37.81,-122.22
151,5.3509,37.81,-122.22
152,3.1603,37.8,-122.23
153,4.7708,37.81,-122.23
154,8.1564,37.81,-122.22
155,8.8793,37.81,-122.23
156,6.8591,37.81,-122.24
157,6.0302,37.81,-122.24
158,7.507999999999999,37.81,-122.23
159,2.7477,37.81,-122.24
160,2.1944,37.8,-122.24
161,3.0149,37.8,-122.25
162,3.675,37.81,-122.24
163,3.225,37.81,-122.25
164,2.9345,37.8,-122.25
165,2.1429,37.8,-122.25
166,1.6121,37.8,-122.25
167,1.3929,37.8,-122.25
168,2.3173,37.79,-122.24
169,1.7772,37.79,-122.25
170,2.6458,37.79,-122.25
171,2.181,37.79,-122.25
172,2.2303,37.8,-122.25
173,1.6504,37.8,-122.25
174,2.2697,37.8,-122.24
175,2.1563,37.8,-122.24
176,2.1348,37.8,-122.24
177,2.6292,37.8,-122.24
178,2.3833,37.8,-122.23
179,2.957,37.8,-122.24
180,2.5238,37.8,-122.24
181,1.9375,37.8,-122.23
182,1.9028,37.8,-122.23
183,2.25,37.8,-122.23
